Symbol	Description
00290.HK	China Conservational Power Holdings Ltd
00291.HK	China Resources Enterprise Ltd
00292.HK	Asia Standard Hotel Group Ltd
00293.HK	Cathay Pacific Airways Ltd
00294.HK	Yangtzekiang Garment Ltd
00295.HK	Kong Sun Holdings Ltd
00296.HK	Emperor Entertainment Hotel Ltd
00297.HK	Sinofert Holdings Ltd
00298.HK	Chuang's China Investments Ltd
00299.HK	SinoCom Software Group Limited
00300.HK	Shenji Group Kunming Machine
00303.HK	VTech Holdings Ltd
00305.HK	Magnum International Holdings Ltd
00306.HK	Kwoon Chung Bus Holdings Ltd
00307.HK	Tidetime Sun (Group) Ltd
00308.HK	China Travel International Investment Hong Kong Ltd
00309.HK	Lo's Enviro-Pro Holdings Ltd
00310.HK	Prosperity Investment Holdings Ltd
00311.HK	Luen Thai Holdings Ltd
00312.HK	Lamex Holdings
00313.HK	Dickson Group Holdings Ltd
00315.HK	SmarTone Telecommunications Holdings Ltd
00316.HK	Orient Overseas (International) Ltd
00317.HK	Guangzhou Shipyard International Co. Ltd
00318.HK	Vongroup Ltd
00320.HK	Computime Group Ltd
00321.HK	Texwinca Holdings Ltd
00322.HK	Tingyi (Cayman Islands) Holdings Corp.
00323.HK	Maanshan Iron & Steel Co. Ltd
00326.HK	China Star Entertainment Ltd
00327.HK	Shanxi Central Pharmaceutical Intl Ltd
00328.HK	Alco Holdings Ltd
00329.HK	Golden Dragon Group (Holdings) Ltd
00330.HK	Esprit Holdings Ltd
00331.HK	China Resources Peoples Telephone
00332.HK	Ngai Lik Industrial Holdings Ltd
00333.HK	Top Form International Ltd
00334.HK	TCL Display
00335.HK	Upbest Group Ltd
00336.HK	Huabao International Holdings Ltd
00337.HK	Cec International Holdings Ltd W0309
00338.HK	Sinopec Shanghai Petrochemical Co. Ltd
00339.HK	Earnest Investments Holdings Ltd
00340.HK	China Mining Resources Group Ltd
00341.HK	Cafe de Coral Holdings Ltd
00342.HK	NewOcean Energy Holdings Ltd
00343.HK	Culturecom Holdings Ltd
00345.HK	Vitasoy International Holdings Ltd
00346.HK	Sino Union Petroleum & Chemical International Ltd
00347.HK	Angang New Steel Co. Ltd
00348.HK	Lung Cheong International Holdings Ltd
00351.HK	Asia Energy Logistics
00352.HK	Fortune Sun (China) Holdings Ltd
00353.HK	Aurora Global Investment Holdings Ltd
00354.HK	Chinasoft International Ltd
00355.HK	Century City International Holdings Ltd
00356.HK	DT Capital Limited
00357.HK	Hainan Meilan International Airport Co. Ltd
00358.HK	Jiangxi Copper Co. Ltd
00359.HK	China Haisheng Juice Holdings Co. Ltd
00360.HK	New Focus Auto Tech Holdings Ltd
00361.HK	Sino Golf Holdings Ltd
00362.HK	Daqing Petroleum and Chemical Group Ltd
00363.HK	Shanghai Industrial Holdings Ltd
00364.HK	Huafeng Textile International Group Ltd
00365.HK	Sun East Technology (Holdings) Ltd
00366.HK	Luks Industrial (Group) Ltd
00367.HK	Chuang's Consortium International Ltd
00368.HK	Sinotrans Shipping Ltd
00369.HK	USI Holdings Ltd
00370.HK	China Best Group Holding Ltd
00371.HK	Shang Hua Holdings Ltd
00372.HK	ITC Corporation Ltd
00373.HK	Allied Group Ltd
00374.HK	Four Seas Mercantile Holdings Ltd
00375.HK	YGM Trading Ltd
00376.HK	Asia TeleMedia Ltd
00377.HK	New Island Printing Holdings Ltd
00378.HK	Ciam Group
00379.HK	PME Group Ltd
00380.HK	World Trade Bun Kee Ltd
00381.HK	Kiu Hung International Holdings Ltd
00382.HK	Welling
00383.HK	COL Capital Ltd
00384.HK	China Gas Holdings Ltd
00385.HK	Chinney Alliance Group Ltd
00386.HK	Sinopec
00387.HK	Leeport (Holdings) Ltd
00388.HK	Hong Kong Exchanges and Clearing Ltd
00389.HK	Moulin Global Eyecare Holdings Ltd
00390.HK	China Railway Group Ltd
00391.HK	Mei Ah Entertainment Group Ltd
00392.HK	Beijing Enterprises Holdings Ltd
00393.HK	Glorious Sun Enterprises Ltd
00395.HK	Asia Zirconium Ltd
00396.HK	Gold-Face Holdings Ltd
00397.HK	Town Health Medical Technology Holdings Co. Ltd
00398.HK	Oriental Watch Holdings Ltd
00399.HK	Far East Pharmaceutical Technology Co. Ltd
00400.HK	Cogobuy
00401.HK	401 Holdings
00402.HK	Ming Hing Holdings Ltd
00403.HK	Starlite Holdings Ltd
00404.HK	Hsin Chong Construction Group Ltd
00405.HK	GZI Real Estate Investment Trust
00406.HK	Yau Lee Holdings Ltd
00408.HK	Yip's Chemical Holdings Ltd
00410.HK	SOHO China Ltd
